Source_URL,Retrieval_URL,Scrape_Date,Price_Date,Raw_Table_Row,State,State_Abbr,Regular_Raw,Mid_Grade_Raw,Premium_Raw,Diesel_Raw
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Alaska](https://gasprices.aaa.com/?state=AK) | $5.213 | $5.409 | $5.665 | $5.935 |,Alaska,AK,$5.213,$5.409,$5.665,$5.935
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Alabama](https://gasprices.aaa.com/?state=AL) | $4.100 | $4.539 | $4.943 | $5.280 |,Alabama,AL,$4.100,$4.539,$4.943,$5.280
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Arkansas](https://gasprices.aaa.com/?state=AR) | $4.027 | $4.481 | $4.820 | $5.231 |,Arkansas,AR,$4.027,$4.481,$4.820,$5.231
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Arizona](https://gasprices.aaa.com/?state=AZ) | $4.842 | $5.209 | $5.532 | $5.786 |,Arizona,AZ,$4.842,$5.209,$5.532,$5.786
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [California](https://gasprices.aaa.com/?state=CA) | $6.165 | $6.397 | $6.585 | $7.493 |,California,CA,$6.165,$6.397,$6.585,$7.493
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Colorado](https://gasprices.aaa.com/?state=CO) | $4.403 | $4.802 | $5.131 | $5.495 |,Colorado,CO,$4.403,$4.802,$5.131,$5.495
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Connecticut](https://gasprices.aaa.com/?state=CT) | $4.622 | $5.104 | $5.510 | $5.849 |,Connecticut,CT,$4.622,$5.104,$5.510,$5.849
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [District of Columbia](https://gasprices.aaa.com/?state=DC) | $4.613 | $5.200 | $5.569 | $5.985 |,District of Columbia,DC,$4.613,$5.200,$5.569,$5.985
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Delaware](https://gasprices.aaa.com/?state=DE) | $4.354 | $4.873 | $5.175 | $5.561 |,Delaware,DE,$4.354,$4.873,$5.175,$5.561
https://gasprices.aaa.com/state-gas-price-averages/,https://r.jina.ai/http://r.jina.ai/http://https://gasprices.aaa.com/state-gas-price-averages/,2026-05-07,5/7/26,| [Florida](https://gasprices.aaa.com/?state=FL) | $4.519 | $4.955 | $5.287 | $5.377 |,Florida,FL,$4.519,$4.955,$5.287,$5.377
